service_type,business_sphere,monthly_budget,has_experience,segments_count,marketing_source,form_completion_time,day_of_week,time_of_day,converted
"Контекстная реклама",Производство,"от 100к до 250к рублей",1,3,"Поиск в Google/Yandex",587,3,10,0
Перформанс-маркетинг,Производство,"от 200к рублей",0,2,"Контекстная или таргетированная реклама",200,2,14,0
"Контекстная реклама","Услуги для бизнеса (B2B)","от 500к до 1 млн рублей",1,3,"Поиск в Google/Yandex",200,4,10,1
Аутстафф,"Услуги для бизнеса (B2B)","от 100к до 250к рублей",1,3,"Поиск в Google/Yandex",322,0,10,0
Контент-поддержка,Образование,"от 100к до 250к рублей",0,2,Рекомендация,430,0,13,0
Контент-поддержка,"Услуги для населения (B2C)","от 250к до 500к рублей",1,1,Рекомендация,520,5,17,1
Перформанс-маркетинг,"Туризм и гостиницы","от 30к до 50к рублей",0,2,Рекомендация,165,0,15,1
GEO-продвижение,Другое,"от 500к до 1 млн рублей",1,2,"Социальные сети",600,5,16,1
SEO-продвижение,"Услуги для населения (B2C)","от 100к до 200к рублей",0,2,"Поиск в Google/Yandex",142,1,17,0
Контент-поддержка,Строительство,"от 250к до 500к рублей",0,2,"Социальные сети",525,1,18,0
Контент-поддержка,Производство,"от 200к до 400к рублей",1,3,"Социальные сети",331,1,9,1
Контент-поддержка,Интернет-магазин,"от 40к до 100к рублей",0,3,"Социальные сети",499,1,9,0
"SERM (управление репутацией)","Услуги для бизнеса (B2B)","от 30к до 50к рублей",1,2,"Поиск в Google/Yandex",479,4,10,0
"Контекстная реклама",Производство,"от 500к до 1 млн рублей",0,1,"Контекстная или таргетированная реклама",472,6,14,0
SEO-продвижение,Строительство,"от 250к до 500к рублей",1,3,"Социальные сети",313,4,18,1
Веб-аналитика,Строительство,"от 50к до 100к рублей",1,2,"Поиск в Google/Yandex",137,2,9,1
Контент-поддержка,Другое,"от 40к до 100к рублей",1,3,"Социальные сети",183,5,10,1
SEO-продвижение,Производство,"от 100к до 200к рублей",0,2,"Социальные сети",317,4,16,0
"Контекстная реклама",Медицина,"от 100к до 200к рублей",1,1,"Социальные сети",172,0,10,0
"SERM (управление репутацией)","Услуги для бизнеса (B2B)","от 100к до 250к рублей",0,2,Рекомендация,352,3,16,0
"Контекстная реклама",Другое,"от 50к до 100к рублей",1,1,"Поиск в Google/Yandex",162,4,14,1
"SERM (управление репутацией)",Другое,"от 100к до 250к рублей",1,3,Рекомендация,445,3,15,1
Контент-поддержка,Строительство,"от 1 млн рублей",0,2,"Поиск в Google/Yandex",83,6,14,1
Веб-аналитика,Строительство,"от 250к до 500к рублей",0,3,"Контекстная или таргетированная реклама",382,3,18,1
"SERM (управление репутацией)",Образование,"от 200к до 400к рублей",0,2,"Социальные сети",292,0,14,0
