service_type,business_sphere,monthly_budget,has_experience,segments_count,marketing_source,form_completion_time,day_of_week,time_of_day,converted
GEO-продвижение,Услуги для бизнеса (B2B),от 1 млн рублей,0,3,Социальные сети,264,2,11,0
Веб-аналитика,Туризм и гостиницы,от 40к до 100к рублей,1,2,Социальные сети,393,6,16,0
SERM (управление репутацией),Строительство,от 200к рублей,0,3,Контекстная или таргетированная реклама,353,3,9,0
Зарубежное SEO,Туризм и гостиницы,от 100к до 250к рублей,0,1,Контекстная или таргетированная реклама,557,5,12,0
SERM (управление репутацией),Строительство,от 100к до 250к рублей,1,1,Социальные сети,511,1,14,0
Контекстная реклама,Производство,от 200к до 400к рублей,0,2,Контекстная или таргетированная реклама,139,4,9,0
Аутстафф,Другое,от 1 млн рублей,0,3,Рекомендация,173,1,18,1
Контекстная реклама,Строительство,от 40к до 100к рублей,0,3,Поиск в Google/Yandex,521,5,17,0
SERM (управление репутацией),Строительство,от 30к до 50к рублей,1,3,Поиск в Google/Yandex,380,7,16,0
Контент-поддержка,Производство,от 30к до 50к рублей,1,1,Рекомендация,131,6,11,1
Зарубежное SEO,Услуги для бизнеса (B2B),от 1 млн рублей,1,1,Контекстная или таргетированная реклама,190,3,14,1
GEO-продвижение,Услуги для населения (B2C),от 100к до 200к рублей,1,2,Рекомендация,524,6,17,1
Контент-поддержка,Строительство,от 200к до 400к рублей,0,3,Социальные сети,502,4,16,0
SEO-продвижение,Строительство,от 200к до 400к рублей,0,1,Рекомендация,496,6,17,0
Зарубежное SEO,Другое,от 400к рублей,0,3,Рекомендация,79,1,18,1
GEO-продвижение,Недвижимость,от 1 млн рублей,0,3,Социальные сети,434,7,11,1
Контекстная реклама,Недвижимость,от 500к до 1 млн рублей,1,2,Контекстная или таргетированная реклама,160,5,13,1
Зарубежное SEO,Услуги для населения (B2C),от 100к до 200к рублей,1,1,Поиск в Google/Yandex,259,4,9,0
Контент-поддержка,Образование,от 500к до 1 млн рублей,1,3,Поиск в Google/Yandex,243,6,12,1
SEO-продвижение,Образование,от 200к рублей,0,1,Поиск в Google/Yandex,166,2,12,0
Контекстная реклама,Туризм и гостиницы,от 200к рублей,1,2,Поиск в Google/Yandex,359,3,16,0
SERM (управление репутацией),Образование,от 100к до 200к рублей,1,2,Социальные сети,109,1,13,1
Аутстафф,Недвижимость,от 40к до 100к рублей,1,1,Социальные сети,349,7,18,0
Контекстная реклама,Услуги для населения (B2C),от 400к рублей,0,2,Социальные сети,99,4,12,0
Аутстафф,Строительство,от 200к рублей,1,2,Контекстная или таргетированная реклама,276,3,17,0
Веб-аналитика,Недвижимость,от 50к до 100к рублей,0,1,Поиск в Google/Yandex,170,6,15,0
Перформанс-маркетинг,Производство,от 250к до 500к рублей,0,2,Рекомендация,459,1,11,1
Зарубежное SEO,Производство,от 200к рублей,0,1,Контекстная или таргетированная реклама,153,4,9,0
SERM (управление репутацией),Образование,от 250к до 500к рублей,0,1,Контекстная или таргетированная реклама,364,2,10,0
GEO-продвижение,Образование,от 50к до 100к рублей,0,3,Поиск в Google/Yandex,561,3,13,0
SERM (управление репутацией),Другое,от 250к до 500к рублей,0,1,Рекомендация,364,5,9,1
SEO-продвижение,Производство,от 200к до 400к рублей,0,3,Контекстная или таргетированная реклама,181,5,14,0
Веб-аналитика,Медицина,от 100к до 250к рублей,0,1,Контекстная или таргетированная реклама,581,6,17,0
SERM (управление репутацией),Услуги для бизнеса (B2B),от 200к рублей,1,2,Поиск в Google/Yandex,450,4,18,0
Контекстная реклама,Производство,от 100к до 200к рублей,0,1,Социальные сети,345,5,14,0
GEO-продвижение,Производство,от 100к до 250к рублей,1,3,Поиск в Google/Yandex,112,2,13,1
Зарубежное SEO,Недвижимость,от 100к до 200к рублей,0,3,Поиск в Google/Yandex,159,7,14,0
SERM (управление репутацией),Интернет-магазин,от 1 млн рублей,1,1,Контекстная или таргетированная реклама,181,4,16,1
SEO-продвижение,Услуги для населения (B2C),от 40к до 100к рублей,1,3,Рекомендация,518,6,9,1
Веб-аналитика,Услуги для бизнеса (B2B),от 50к до 100к рублей,1,1,Контекстная или таргетированная реклама,491,1,11,0
Веб-аналитика,Интернет-магазин,от 250к до 500к рублей,0,2,Контекстная или таргетированная реклама,133,6,14,1
Перформанс-маркетинг,Другое,от 500к до 1 млн рублей,1,1,Поиск в Google/Yandex,72,7,12,1
Веб-аналитика,Производство,от 250к до 500к рублей,1,3,Поиск в Google/Yandex,86,3,14,1
Зарубежное SEO,Производство,от 200к рублей,1,3,Поиск в Google/Yandex,223,6,10,1
Перформанс-маркетинг,Производство,от 50к до 100к рублей,0,3,Рекомендация,90,5,9,1
Аутстафф,Услуги для населения (B2C),от 500к до 1 млн рублей,0,2,Поиск в Google/Yandex,78,2,17,1
Аутстафф,Недвижимость,от 50к до 100к рублей,1,1,Социальные сети,217,1,16,0
SEO-продвижение,Туризм и гостиницы,от 100к до 250к рублей,0,3,Рекомендация,92,2,16,1
Перформанс-маркетинг,Другое,от 50к до 100к рублей,0,2,Социальные сети,345,7,17,0
Веб-аналитика,Интернет-магазин,от 50к до 100к рублей,0,1,Рекомендация,106,7,11,0
Аутстафф,Интернет-магазин,от 200к до 400к рублей,0,3,Поиск в Google/Yandex,266,3,15,0
Контекстная реклама,Услуги для населения (B2C),от 50к до 100к рублей,0,2,Рекомендация,152,3,16,0
Зарубежное SEO,Недвижимость,от 1 млн рублей,1,3,Социальные сети,187,2,9,1
Веб-аналитика,Недвижимость,от 200к до 400к рублей,0,3,Рекомендация,391,1,15,0
SERM (управление репутацией),Недвижимость,от 200к рублей,1,1,Рекомендация,67,6,9,1
Контекстная реклама,Строительство,от 100к до 200к рублей,1,3,Рекомендация,280,7,11,1
SERM (управление репутацией),Производство,от 400к рублей,1,1,Поиск в Google/Yandex,224,2,17,0
Веб-аналитика,Другое,от 200к рублей,0,2,Социальные сети,177,2,10,0
Веб-аналитика,Медицина,от 100к до 250к рублей,1,3,Поиск в Google/Yandex,440,2,17,1
Веб-аналитика,Образование,от 400к рублей,0,2,Контекстная или таргетированная реклама,544,6,11,0
Контекстная реклама,Недвижимость,от 250к до 500к рублей,0,1,Рекомендация,295,4,13,0
Контент-поддержка,Другое,от 500к до 1 млн рублей,0,3,Социальные сети,108,4,10,1
Веб-аналитика,Недвижимость,от 1 млн рублей,0,1,Контекстная или таргетированная реклама,446,3,18,0
Контент-поддержка,Услуги для бизнеса (B2B),от 40к до 100к рублей,0,1,Социальные сети,247,7,17,0
SEO-продвижение,Интернет-магазин,от 40к до 100к рублей,1,3,Социальные сети,114,3,9,1
Зарубежное SEO,Другое,от 50к до 100к рублей,1,3,Рекомендация,440,3,14,1
Веб-аналитика,Другое,от 100к до 250к рублей,1,2,Социальные сети,286,4,18,0
Аутстафф,Образование,от 500к до 1 млн рублей,0,3,Контекстная или таргетированная реклама,290,7,14,1
SEO-продвижение,Медицина,от 40к до 100к рублей,0,1,Поиск в Google/Yandex,72,2,12,0
SERM (управление репутацией),Недвижимость,от 100к до 200к рублей,0,2,Поиск в Google/Yandex,209,3,10,0
Веб-аналитика,Производство,от 40к до 100к рублей,1,2,Рекомендация,569,4,16,1
GEO-продвижение,Туризм и гостиницы,от 250к до 500к рублей,1,3,Рекомендация,207,4,14,1
SERM (управление репутацией),Недвижимость,от 1 млн рублей,1,1,Поиск в Google/Yandex,576,4,10,1
SEO-продвижение,Медицина,от 250к до 500к рублей,1,2,Контекстная или таргетированная реклама,357,2,11,1
SERM (управление репутацией),Интернет-магазин,от 1 млн рублей,1,1,Рекомендация,222,5,17,1
SERM (управление репутацией),Образование,от 40к до 100к рублей,0,1,Рекомендация,263,2,17,0
Аутстафф,Туризм и гостиницы,от 40к до 100к рублей,0,2,Поиск в Google/Yandex,213,3,12,0
SERM (управление репутацией),Услуги для населения (B2C),от 250к до 500к рублей,1,2,Контекстная или таргетированная реклама,290,6,10,1
GEO-продвижение,Интернет-магазин,от 400к рублей,1,2,Социальные сети,530,4,12,0
Контекстная реклама,Производство,от 400к рублей,1,1,Поиск в Google/Yandex,60,4,13,0
Перформанс-маркетинг,Строительство,от 40к до 100к рублей,0,1,Поиск в Google/Yandex,350,3,14,0
Перформанс-маркетинг,Туризм и гостиницы,от 250к до 500к рублей,0,2,Контекстная или таргетированная реклама,495,2,11,0
Перформанс-маркетинг,Услуги для населения (B2C),от 100к до 250к рублей,1,3,Рекомендация,118,4,12,1
Аутстафф,Недвижимость,от 40к до 100к рублей,1,3,Контекстная или таргетированная реклама,292,5,10,0
Контент-поддержка,Другое,от 1 млн рублей,1,3,Социальные сети,392,1,18,1
Контекстная реклама,Туризм и гостиницы,от 250к до 500к рублей,1,2,Социальные сети,209,3,11,1
Зарубежное SEO,Услуги для бизнеса (B2B),от 40к до 100к рублей,1,1,Поиск в Google/Yandex,329,6,17,0
Аутстафф,Производство,от 40к до 100к рублей,0,2,Поиск в Google/Yandex,339,4,13,0
Контент-поддержка,Услуги для населения (B2C),от 1 млн рублей,0,2,Контекстная или таргетированная реклама,154,2,14,1
Аутстафф,Услуги для населения (B2C),от 250к до 500к рублей,0,1,Контекстная или таргетированная реклама,484,3,16,0
GEO-продвижение,Медицина,от 40к до 100к рублей,0,2,Поиск в Google/Yandex,254,7,11,0
Аутстафф,Другое,от 50к до 100к рублей,1,2,Рекомендация,451,6,12,1
Перформанс-маркетинг,Услуги для населения (B2C),от 500к до 1 млн рублей,0,2,Социальные сети,538,1,18,0
SEO-продвижение,Услуги для бизнеса (B2B),от 50к до 100к рублей,0,1,Контекстная или таргетированная реклама,238,2,15,0
